Camera,Camera_folder,Species,DateTimeOriginal,Date,Sheep,Time,delta.time.secs,Directory,FileName,Classification,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
D04,D04_031520_060220,Bobcat,5/16/2020 12:23,5/15/20,N,12:23:28,0,Reviewed Phase 4/D04_031520_060220/Bobcat,IMG_1288.JPG,Bobcat,TRUE,12H 23M 28S,NA,NA,NA,NA
D04,D04_092320_110720,Bobcat,10/7/2020 21:02,10/6/20,N,21:02:12,0,Reviewed Phase 4/D04_092320_110720/Bobcat,IMG_0451.JPG,Bobcat,TRUE,21H 2M 12S,NA,NA,NA,NA
D04,D04_110720_032521,Bobcat,12/18/2020 13:08,12/17/20,N,13:08:33,0,Reviewed Phase 4/D04_110720_032521/Bobcat,IMG_0475.JPG,Bobcat,FALSE,13H 8M 33S,NA,NA,NA,NA
D06,D06_031420_061120,Bobcat,4/18/2020 23:13,4/17/20,N,23:13:13,0,Reviewed Phase 4/D06_031420_061120/Bobcat,IMG_0247.JPG,Bobcat,TRUE,23H 13M 13S,NA,NA,NA,NA
D06,D06_061120_092220,Bobcat,6/30/2020 18:33,6/29/20,N,18:33:00,0,Reviewed Phase 4/D06_061120_092220/Bobcat,IMG_1474.JPG,Bobcat,TRUE,17H 33M 0S,NA,NA,NA,NA
D06,D06_110720_032021,Bobcat,2/7/2021 16:53,2/6/21,N,16:53:46,0,Reviewed Phase 4/D06_110720_032021/Bobcat,IMG_0547.JPG,Bobcat,FALSE,16H 53M 46S,NA,NA,NA,NA
D06,D06_110720_032021,Bobcat,2/15/2021 16:27,2/14/21,N,16:27:54,689643,Reviewed Phase 4/D06_110720_032021/Bobcat,IMG_0583.JPG,Bobcat,FALSE,16H 27M 54S,NA,NA,NA,NA
D06,D06_110720_032021,Bobcat,2/19/2021 13:54,2/18/21,N,13:54:11,336373,Reviewed Phase 4/D06_110720_032021/Bobcat,IMG_0880.JPG,Bobcat,FALSE,13H 54M 11S,NA,NA,NA,NA
D06,D06_110720_032021,Bobcat,2/20/2021 13:02,2/19/21,N,13:02:34,83301,Reviewed Phase 4/D06_110720_032021/Bobcat,IMG_0913.JPG,Bobcat,FALSE,13H 2M 34S,NA,NA,NA,NA
D06,D06_110720_032021,Bobcat,2/28/2021 15:01,2/27/21,N,15:01:45,698349,Reviewed Phase 4/D06_110720_032021/Bobcat,IMG_0964.JPG,Bobcat,FALSE,15H 1M 45S,NA,NA,NA,NA
D06,D06_110720_032021,Bobcat,3/8/2021 18:30,3/7/21,N,18:30:15,703695,Reviewed Phase 4/D06_110720_032021/Bobcat,IMG_1096.JPG,Bobcat,FALSE,18H 30M 15S,NA,NA,NA,NA
D06,D06_110720_032021,Bobcat,3/13/2021 10:49,3/12/21,N,10:49:48,404328,Reviewed Phase 4/D06_110720_032021/Bobcat,IMG_1102.JPG,Bobcat,FALSE,10H 49M 48S,NA,NA,NA,NA
