Camera,Month,Bobcat_RAI,Fire
B12,june.2018,0,N
B14,june.2018,0,N
C03,june.2018,0.1,N
C05,june.2018,0,N
C07,june.2018,0,N
C09,june.2018,0,N
C15,june.2018,0,N
C17,june.2018,0,N
D04,june.2018,0,N
D06,june.2018,0,N
D08,june.2018,0.03333333,N
D10,june.2018,0.06666667,N
D12,june.2018,0,N
D14,june.2018,0,N
D16,june.2018,0,N
E05,june.2018,0,N
E07,june.2018,0,N
E09,june.2018,0,N
E11,june.2018,0,N
E13,june.2018,0,N
E15,june.2018,0,N
E17,june.2018,0,N
F06,june.2018,0,N
F08,june.2018,0,N
F10,june.2018,0,N
G09,june.2018,0,N
G11,june.2018,0,N
A03,july.2018,0,N
A13,july.2018,0,N
B02,july.2018,0,Y
B04,july.2018,0.03225806,Y
B06,july.2018,0,Y
B08,july.2018,0,Y
B10,july.2018,0,Y
B12,july.2018,0,N
B14,july.2018,0,N
C03,july.2018,0.03225806,N
C05,july.2018,0,N
C07,july.2018,0,N
C09,july.2018,0,Y
C11,july.2018,0,N
C15,july.2018,0,N
C17,july.2018,0.03225806,N
D04,july.2018,0,Y
D06,july.2018,0,Y
D08,july.2018,0,Y
D10,july.2018,0,Y
D12,july.2018,0,N
D14,july.2018,0,N
D16,july.2018,0.03225806,N
E05,july.2018,0,Y
E07,july.2018,0,Y
E09,july.2018,0,Y
E11,july.2018,0,Y
E13,july.2018,0,N
E15,july.2018,0.03225806,N
E17,july.2018,0,N
F04,july.2018,0,N
F06,july.2018,0,Y
F08,july.2018,0,Y
F10,july.2018,0,Y
G09,july.2018,0,Y
G11,july.2018,0,Y
A03,august.2018,0,N
A13,august.2018,0,N
B02,august.2018,0.03571429,Y
B04,august.2018,0,Y
B06,august.2018,0,Y
B08,august.2018,0,Y
B10,august.2018,0.03225806,Y
B12,august.2018,0,N
B14,august.2018,0.03225806,N
C03,august.2018,0.16129032,N
C07,august.2018,0,N
C09,august.2018,0,Y
C11,august.2018,0,N
C15,august.2018,0,N
C17,august.2018,0,N
D04,august.2018,0,Y
D06,august.2018,0.1,Y
D08,august.2018,0,Y
D10,august.2018,0,Y
D12,august.2018,0.03225806,N
D14,august.2018,0,N
D16,august.2018,0,N
E05,august.2018,0.03225806,Y
E07,august.2018,0,Y
E09,august.2018,0,Y
E11,august.2018,0,Y
E13,august.2018,0,N
E15,august.2018,0.03225806,N
E17,august.2018,0,N
F04,august.2018,0,N
F06,august.2018,0,Y
F08,august.2018,0,Y
F10,august.2018,0,Y
G09,august.2018,0,Y
G11,august.2018,0,Y
A03,september.2018,0,N
A13,september.2018,0,N
B02,september.2018,0,Y
B04,september.2018,0,Y
B06,september.2018,0,Y
B08,september.2018,0,Y
B10,september.2018,0,Y
B12,september.2018,0,N
B14,september.2018,0,N
C03,september.2018,0.1,N
C07,september.2018,0.03333333,N
C09,september.2018,0,Y
C11,september.2018,0,N
C15,september.2018,0.06666667,N
C17,september.2018,0,N
D04,september.2018,0,Y
D06,september.2018,0.1,Y
D12,september.2018,0.06666667,N
D14,september.2018,0,N
D16,september.2018,0,N
E05,september.2018,0.06666667,Y
E07,september.2018,0,Y
E09,september.2018,0,Y
E11,september.2018,0,Y
E13,september.2018,0,N
E15,september.2018,0,N
E17,september.2018,0,N
F04,september.2018,0.16666667,N
F06,september.2018,0,Y
F08,september.2018,0,Y
F10,september.2018,0,Y
G09,september.2018,0.03333333,Y
G11,september.2018,0,Y
A03,october.2018,0,N
A13,october.2018,0,N
B02,october.2018,0.03225806,Y
B04,october.2018,0.06451613,Y
B06,october.2018,0,Y
B08,october.2018,0,Y
B10,october.2018,0,Y
B12,october.2018,0,N
B14,october.2018,0.06451613,N
C03,october.2018,0.16129032,N
C05,october.2018,0,N
C07,october.2018,0,N
C09,october.2018,0,Y
C11,october.2018,0,N
C15,october.2018,0.03225806,N
C17,october.2018,0,N
D04,october.2018,0,Y
D06,october.2018,0.09677419,Y
D12,october.2018,0.16129032,N
D14,october.2018,0,N
D16,october.2018,0,N
E05,october.2018,0,Y
E07,october.2018,0,Y
E09,october.2018,0,Y
E11,october.2018,0,Y
E13,october.2018,0,N
E15,october.2018,0,N
E17,october.2018,0,N
F04,october.2018,0,N
F06,october.2018,0.03225806,Y
F08,october.2018,0.03225806,Y
F10,october.2018,0,Y
G09,october.2018,0,Y
G11,october.2018,0,Y
A03,november.2018,0,N
A13,november.2018,0,N
